Fund,Sector,Monthly_Return
FundD,Tech,0.0101
FundD,Tech,0.0134
FundD,Tech,0.0084
FundD,Tech,0.0116
FundD,Tech,0.0093
FundD,Tech,0.0105
FundD,Tech,0.013
FundD,Tech,0.0059
FundD,Tech,0.0205
FundD,Tech,0.005
FundD,Tech,0.0039
FundD,Tech,0.0158
FundD,Tech,0.014
FundD,Tech,0.0131
FundD,Tech,0.0131
FundD,Tech,0.0099
FundD,Tech,0.0055
FundD,Tech,0.0104
FundD,Tech,0.0066
FundD,Tech,0.0149
FundD,Tech,0.0093
FundD,Tech,0.0059
FundD,Tech,0.0084
FundD,Tech,0.0121
FundD,Tech,0.0072
FundD,Tech,0.0059
FundD,Tech,0.0112
FundD,Tech,0.0112
FundD,Tech,0.0075
FundD,Tech,0.0076
FundD,Tech,0.0112
FundD,Tech,0.0028
FundD,Tech,0.003
FundD,Tech,0.0064
FundD,Tech,0.0089
FundD,Tech,0.0116
FundD,Tech,0.0174
FundD,Tech,0.0143
FundD,Tech,0.0092
FundD,Tech,0.0099
FundD,Tech,0.005
FundD,Tech,0.0099
FundD,Tech,0.0086
FundD,Tech,0.0116
FundD,Tech,0.0059
FundD,Tech,0.0126
FundD,Tech,0.0177
FundD,Tech,0.0095
FundD,Tech,0.012
FundD,Tech,0.0135
FundD,Tech,0.008
FundD,Tech,0.0111
FundD,Tech,0.0101
FundD,Tech,0.0105
FundD,Tech,0.0061
FundD,Tech,0.0101
FundD,Tech,0.0125
FundD,Tech,0.0173
FundD,Tech,0.0148
FundD,Tech,0.0208
FundD,Tech,0.0062
FundD,Tech,0.0144
FundD,Tech,0.0109
FundD,Tech,0.0209
FundD,Tech,0.006
FundD,Tech,0.0058
FundD,Tech,0.007
FundD,Tech,-0.0006
FundD,Tech,0.0074
FundD,Tech,0.0062
FundD,Tech,0.0108
FundD,Tech,0.0117
FundD,Tech,0.0194
FundD,Tech,0.0148
FundD,Tech,0.0071
FundD,Tech,0.0055
FundD,Tech,0.0125
FundD,Tech,0.0034
FundD,Tech,0.0192
FundD,Tech,0.0159
FundD,Tech,0.0077
FundD,Tech,0.0014
FundD,Tech,0.0168
FundD,Tech,0.0094
FundD,Tech,0.0162
FundF,Tech,0.002
FundF,Tech,0.007
FundF,Tech,0.01
FundF,Tech,0.0102
FundF,Tech,0.0077
FundF,Tech,0.0131
FundF,Tech,0.0047
FundF,Tech,0.0093
FundF,Tech,0.0106
FundF,Tech,0.0126
FundF,Tech,0.0136
FundF,Tech,0.0044
FundF,Tech,0.0023
FundF,Tech,0.0164
FundF,Tech,0.0117
FundF,Tech,0.0063
FundF,Tech,0.0178
FundF,Tech,0.0106
FundF,Tech,0.0159
FundF,Tech,0.0103
FundF,Tech,0.0203
FundF,Tech,0.0188
FundF,Tech,0.0088
FundF,Tech,0.0149
FundF,Tech,0.0132
FundF,Tech,0.0168
FundF,Tech,0.0052
FundF,Tech,0.0134
FundF,Tech,0.0153
FundF,Tech,0.0012
FundF,Tech,0.0041
FundF,Tech,-0.0002
FundF,Tech,0.0087
FundF,Tech,0.0136
FundF,Tech,0.0175
FundF,Tech,0.0104
FundF,Tech,0.0181
FundF,Tech,0.0031
FundF,Tech,0.0015
FundF,Tech,0.0097
FundF,Tech,0.0119
FundF,Tech,0.0098
FundF,Tech,-0.0003
FundF,Tech,0.0096
FundF,Tech,0.0035
FundF,Tech,0.0133
FundF,Tech,0.0118
FundF,Tech,0.0053
FundF,Tech,0.0074
FundF,Tech,0.0047
FundF,Tech,0.0097
FundF,Tech,0.0148
FundF,Tech,0.0051
FundF,Tech,0.0125
FundF,Tech,0.0073
FundF,Tech,0.006
FundF,Tech,0.0095
FundF,Tech,0.0048
FundF,Tech,0.0072
FundF,Tech,0.004
FundF,Tech,0.0198
FundF,Tech,0.0102
FundF,Tech,0.0065
FundF,Tech,0.0111
FundF,Tech,0.0094
FundF,Tech,0.0089
FundF,Tech,0.0131
FundF,Tech,0.0138
FundF,Tech,0.0073
FundF,Tech,0.0071
FundF,Tech,0.0086
FundF,Tech,-0.0015
FundF,Tech,0.0024
FundF,Tech,0.0168
FundF,Tech,0.0182
FundF,Tech,0.0088
FundF,Tech,0.0129
FundF,Tech,0.0116
FundF,Tech,0.0254
FundF,Tech,0.0156
FundF,Tech,0.0094
FundF,Tech,0.0052
FundF,Tech,0.002
FundF,Tech,0.011
FundF,Tech,0.0062
FundF,Tech,0.0029
FundF,Tech,0.0068
FundF,Tech,0.0046
FundF,Tech,0.0184
FundF,Tech,0.0144
FundF,Tech,0.01
FundF,Tech,0.0174
FundF,Tech,0.0104
FundF,Tech,0.0057
FundF,Tech,0.0176
FundF,Tech,0.0127
FundF,Tech,0.0048
FundF,Tech,0.009
FundF,Tech,0.0056
FundF,Tech,0.0031
FundF,Tech,0.0146
FundF,Tech,0.0195
FundF,Tech,0.003
FundF,Tech,0.0128
FundF,Tech,0.0067
FundF,Tech,0.0076
FundF,Tech,0.007
FundF,Tech,0.0057
FundF,Tech,0.0102
FundF,Tech,0.0058
FundF,Tech,0.0114
FundF,Tech,0.0097
FundF,Tech,0.0088
FundF,Tech,0.0055
FundF,Tech,0.0071
FundF,Tech,0.0138
FundF,Tech,0.0125
FundF,Tech,0.0051
FundF,Tech,0.0105
FundF,Tech,0.0138
FundF,Tech,0.0017
FundF,Tech,0.0127
FundF,Tech,0.0067
FundF,Tech,0.0129
FundF,Tech,0.0062
FundF,Tech,0.001
FundF,Tech,0.0019
FundF,Tech,0.0102
FundF,Tech,0.0113
FundF,Tech,0.0055
FundF,Tech,0.0132
FundF,Tech,0.0017
FundF,Tech,0.0097
FundF,Tech,0.0039
FundF,Tech,0.0067
FundF,Tech,0.0102
FundF,Tech,0.0057
FundF,Tech,0.0081
FundF,Tech,0.015
FundF,Tech,0.0071
FundF,Tech,0.0142
FundF,Tech,0.0044
FundF,Tech,0.0126
FundF,Tech,0.0172
FundF,Tech,-0.0024
FundF,Tech,0.006
FundF,Tech,0.0129
FundF,Tech,0.009
FundF,Tech,0.0119
FundF,Tech,0.007
FundF,Tech,0.0104
FundF,Tech,0.0092
FundF,Tech,0.0158
FundF,Tech,0.0113
FundF,Tech,0.0117
FundF,Tech,0.0079
FundF,Tech,0.0076
FundF,Tech,0.0078
FundF,Tech,0.012
FundF,Tech,0.0079
FundF,Tech,0.0114
FundF,Tech,0.0204
FundF,Tech,0.0144
FundF,Tech,0.0084
FundF,Tech,0.016
FundF,Tech,0.008
FundF,Tech,-0.0002
FundF,Tech,0.005
FundF,Tech,0.0006
FundF,Tech,0.0082
FundF,Tech,0.0101
FundF,Tech,0.0184
FundF,Tech,0.0116
FundF,Tech,0.0089
FundF,Tech,0.0141
FundF,Tech,-0.0011
FundF,Tech,0.0112
FundF,Tech,0.0139
FundF,Tech,0.0026
FundF,Tech,0.0157
FundF,Tech,0.0117
FundF,Tech,0.0079
FundF,Tech,0.0132
FundF,Tech,0.0214
FundF,Tech,0.0109
FundF,Tech,0.0112
FundF,Tech,0.0077
FundF,Tech,0.0058
FundF,Tech,0.0142
FundF,Tech,0.0057
FundF,Tech,0.0104
FundF,Tech,0.0076
FundF,Tech,0.0124
FundF,Tech,0.0117
FundF,Tech,0.0152
FundF,Tech,0.0074
FundF,Tech,0.0087
FundF,Tech,0.0051
FundF,Tech,0.0078
FundF,Tech,0.0119
FundG,Tech,0.0138
FundG,Tech,0.0054
FundG,Tech,0.0143
FundG,Tech,0.0168
FundG,Tech,0.0121
FundG,Tech,0.0194
FundG,Tech,0.0061
FundG,Tech,0.0038
FundG,Tech,0.0011
FundG,Tech,0.0175
FundG,Tech,0.0133
FundG,Tech,0.0097
FundG,Tech,0.0114
FundG,Tech,0.0044
FundG,Tech,0.0222
FundG,Tech,0.0106
FundG,Tech,0.0105
FundG,Tech,0.0136
FundG,Tech,0.0124
FundG,Tech,0.0111
FundG,Tech,0.006
FundG,Tech,0.0124
FundG,Tech,0.0194
FundG,Tech,0.0167
FundG,Tech,0.018
FundG,Tech,0.0074
FundG,Tech,0.0051
FundG,Tech,0.0094
FundG,Tech,0.0103
FundG,Tech,0.0155
FundG,Tech,0.0015
FundG,Tech,0.0176
FundG,Tech,0.0092
FundG,Tech,0.0079
FundG,Tech,0.0049
FundG,Tech,0.0017
FundG,Tech,0.0141
FundG,Tech,0.0104
FundG,Tech,0.0036
FundG,Tech,0.0035
FundG,Tech,0.0083
FundG,Tech,0.0183
FundG,Tech,0.0087
FundG,Tech,0.0025
FundG,Tech,0.0088
FundG,Tech,0.0086
FundG,Tech,-0.0035
FundG,Tech,0.0097
FundG,Tech,0.0088
FundG,Tech,0.0135
FundG,Tech,0.0192
FundG,Tech,0.0156
FundG,Tech,0.0087
FundG,Tech,0.0045
FundG,Tech,0.0229
FundG,Tech,0.0103
FundG,Tech,0.0101
FundG,Tech,0.0099
FundG,Tech,0.011
FundG,Tech,0.0093
FundG,Tech,0.0071
FundG,Tech,0.0073
FundG,Tech,0.0098
FundG,Tech,0.0073
FundG,Tech,0.0064
FundG,Tech,0.0105
FundG,Tech,0.0087
FundG,Tech,0.0175
FundG,Tech,-0.0033
FundG,Tech,0.0155
FundG,Tech,0.0162
FundG,Tech,-0.0004
FundG,Tech,0.0083
FundG,Tech,0.0081
FundG,Tech,0.003
FundG,Tech,0.0061
FundG,Tech,0.0044
FundG,Tech,0.0188
FundG,Tech,0.0147
FundG,Tech,0.0164
FundG,Tech,0.0136
FundG,Tech,0.0044
FundG,Tech,0.0074
FundG,Tech,0.0124
FundG,Tech,0.0039
FundG,Tech,0.0136
FundG,Tech,0.0088
FundG,Tech,0.0081
FundG,Tech,0.0136
FundG,Tech,0.0122
FundG,Tech,0.0082
FundG,Tech,0.0158
FundG,Tech,0.0046
FundG,Tech,0.0131
FundG,Tech,0.013
FundG,Tech,0.0085
FundG,Tech,0.0116
FundG,Tech,0.0037
FundG,Tech,0.0146
FundG,Tech,0.0091
FundG,Tech,0.0074
FundG,Tech,0.0152
FundG,Tech,0.0065
FundG,Tech,0.003
FundG,Tech,0.0022
FundG,Tech,0.013
FundG,Tech,0.0036
FundG,Tech,0.0188
FundG,Tech,-0.0004
FundG,Tech,0.0185
FundG,Tech,0.0111
FundG,Tech,0.0095
FundG,Tech,0.0073
FundG,Tech,0.012
FundG,Tech,0.0098
FundG,Tech,0.0155
FundG,Tech,0.0106
FundG,Tech,0.0108
FundG,Tech,0.0082
FundG,Tech,0.0097
FundG,Tech,0.0115
FundG,Tech,0.0014
FundG,Tech,0.0033
FundG,Tech,0.0137
FundG,Tech,0.0109
FundG,Tech,0.0091
FundG,Tech,0.0101
FundG,Tech,0.0117
FundG,Tech,0.0073
FundG,Tech,0.0061
FundG,Tech,0.011
FundG,Tech,0.0051
FundG,Tech,0.012
FundG,Tech,0.0015
FundG,Tech,0.0151
FundG,Tech,0.0124
FundG,Tech,0.0113
FundG,Tech,0.0149
FundG,Tech,0.0183
FundG,Tech,0.0151
FundG,Tech,0.0008
FundG,Tech,0.0036
FundG,Tech,0.0069
FundG,Tech,0.0101
FundG,Tech,0.0126
FundG,Tech,0.0064
FundG,Tech,0.0109
FundG,Tech,0.0062
FundG,Tech,0.0069
FundG,Tech,0.003
FundG,Tech,0.0054
FundG,Tech,0.0032
FundG,Tech,0.0051
FundG,Tech,0.0153
FundG,Tech,0.0053
FundG,Tech,0.0232
FundG,Tech,0.0125
FundG,Tech,0.0109
FundG,Tech,0.0057
FundG,Tech,0.0135
FundG,Tech,0.0071
FundG,Tech,0.0106
FundG,Tech,0.0228
FundG,Tech,0.0095
FundG,Tech,0.0157
FundG,Tech,0.0065
FundG,Tech,0.0098
FundG,Tech,0.0189
FundG,Tech,0.0069
FundG,Tech,0.0191
FundG,Tech,0.0135
FundG,Tech,0.0072
FundG,Tech,0.0132
FundG,Tech,0.0149
FundG,Tech,0.0131
FundG,Tech,0.0021
FundG,Tech,0.0064
FundG,Tech,0.0088
FundG,Tech,0.0096
FundG,Tech,0.0131
FundG,Tech,0.0109
FundG,Tech,0.0033
FundG,Tech,0.0119
FundG,Tech,0.0131
FundG,Tech,0.0128
FundG,Tech,0.0154
FundG,Tech,0.0142
FundG,Tech,0.0123
FundG,Tech,0.0096
FundG,Tech,0.0017
FundG,Tech,0.0121
FundG,Tech,0.011
FundG,Tech,0.0114
FundG,Tech,0.0036
FundG,Tech,0.0046
FundG,Tech,0.0153
FundG,Tech,0.0098
FundG,Tech,0.0134
FundG,Tech,0.0101
FundG,Tech,0.0101
FundH,Tech,0.0147
FundH,Tech,0.0074
FundH,Tech,0.0105
FundH,Tech,0.0077
FundH,Tech,0.0078
FundH,Tech,0.0085
FundH,Tech,0.0111
FundH,Tech,0.0076
FundH,Tech,0.0163
FundH,Tech,0.0055
FundH,Tech,0.0091
FundH,Tech,0.0078
FundH,Tech,0.0172
FundH,Tech,0.011
FundH,Tech,0.0152
FundH,Tech,0.0026
FundH,Tech,0.0113
FundH,Tech,0.0144
FundH,Tech,0.0104
FundH,Tech,0.0153
FundH,Tech,0.0074
FundH,Tech,0.017
FundH,Tech,0.0215
FundH,Tech,0.0082
FundH,Tech,0.0078
FundH,Tech,0.0173
FundH,Tech,0.0179
FundH,Tech,0.0074
FundH,Tech,0.0079
FundH,Tech,0.0086
FundH,Tech,0.0033
FundH,Tech,0.0054
FundH,Tech,0.005
FundH,Tech,0.0062
FundH,Tech,0.0098
FundH,Tech,0.0112
FundH,Tech,0.0178
FundH,Tech,0.005
FundH,Tech,0.0149
FundH,Tech,0.0089
FundH,Tech,0.0098
FundH,Tech,0.0134
FundH,Tech,0.0044
FundH,Tech,0.0119
FundH,Tech,0.0108
FundH,Tech,0.0125
FundH,Tech,0.0114
FundH,Tech,0.0223
FundH,Tech,0.0068
FundH,Tech,0.0073
FundH,Tech,0.0069
FundH,Tech,0.0072
FundH,Tech,0.0068
FundH,Tech,0.0159
FundH,Tech,0.0171
FundH,Tech,0.0071
FundH,Tech,0.0058
FundH,Tech,0.0124
FundH,Tech,0.0072
FundH,Tech,0.0132
FundH,Tech,0.011
FundH,Tech,0.0024
FundH,Tech,0.0177
FundH,Tech,0.019
FundH,Tech,0.0069
FundH,Tech,0.0081
FundH,Tech,0.0114
FundH,Tech,0.0117
FundH,Tech,0.0133
FundH,Tech,0.0201
FundH,Tech,0.0091
FundH,Tech,0.006
FundH,Tech,0.0031
FundH,Tech,0.0063
FundH,Tech,0.0098
FundH,Tech,0.019
FundH,Tech,0.0074
FundH,Tech,0.0111
FundH,Tech,0.0099
FundH,Tech,0.0159
FundH,Tech,0.0226
FundH,Tech,0.0073
FundH,Tech,0.0076
FundH,Tech,0.0152
FundH,Tech,0.0134
FundH,Tech,0.0192
FundH,Tech,0.0129
FundH,Tech,0.0082
FundH,Tech,0.013
FundH,Tech,0.0155
FundH,Tech,0.0141
FundH,Tech,0.0125
FundH,Tech,0.0153
FundH,Tech,0.0158
FundH,Tech,0.0169
FundH,Tech,0.0132
FundH,Tech,0.0092
FundH,Tech,0.0107
FundH,Tech,0.016
FundH,Tech,0.0059
FundH,Tech,0.0118
FundH,Tech,0.008
FundH,Tech,0.0101
FundH,Tech,0.0164
FundH,Tech,0.011
FundH,Tech,0.0102
FundH,Tech,0.0032
FundH,Tech,0.0137
FundH,Tech,0.0132
FundH,Tech,0.0208
FundH,Tech,0.0085
FundH,Tech,0.0111
FundH,Tech,0.0112
FundH,Tech,0.0179
FundH,Tech,0.0095
FundH,Tech,0.0114
FundH,Tech,0.013
FundH,Tech,0.0109
FundH,Tech,0.0078
FundH,Tech,0.011
FundH,Tech,0.0154
FundH,Tech,0.0049
FundH,Tech,0.0107
FundH,Tech,0.0065
FundH,Tech,0.016
FundH,Tech,0.0024
FundH,Tech,0.0072
FundH,Tech,0.0119
FundH,Tech,0.0178
FundH,Tech,0.0097
FundH,Tech,0.0072
FundH,Tech,0.0194
FundH,Tech,0.0028
FundH,Tech,-0.001
FundH,Tech,0.0122
FundH,Tech,0.0075
FundH,Tech,0.0049
FundH,Tech,0.0135
FundH,Tech,0.0112
FundH,Tech,0.0072
FundH,Tech,0.0036
FundH,Tech,0.0144
FundH,Tech,0.0133
FundH,Tech,0.0095
FundH,Tech,0.0192
FundH,Tech,0.0046
FundH,Tech,0.0024
FundH,Tech,0.0065
FundH,Tech,0.0098
FundH,Tech,0.0112
FundH,Tech,0.0088
FundH,Tech,0.0118
FundH,Tech,0.0037
FundH,Tech,0.0172
FundH,Tech,0.0096
FundH,Tech,0.0156
FundH,Tech,0.0117
FundH,Tech,0.0123
FundH,Tech,0.0128
FundH,Tech,0.0122
FundH,Tech,0.0132
FundH,Tech,0.0166
FundH,Tech,0.011
FundH,Tech,0.0135
FundH,Tech,0.0096
FundH,Tech,0.0172
FundH,Tech,0.0066
FundH,Tech,0.019
FundH,Tech,0.0098
FundH,Tech,0.0028
FundH,Tech,0.0106
FundH,Tech,0.0066
FundH,Tech,0.0142
FundH,Tech,0.0067
FundH,Tech,0.0078
FundH,Tech,0.0006
FundH,Tech,0.0077
FundH,Tech,-0.0021
FundH,Tech,0.0021
FundH,Tech,0.0138
FundH,Tech,0.0139
FundH,Tech,0.0121
FundH,Tech,0.0052
FundH,Tech,0.0098
FundH,Tech,0.01
FundH,Tech,0.0042
FundH,Tech,0.0175
FundH,Tech,0.0144
FundH,Tech,0.0089
FundH,Tech,0.0101
FundH,Tech,0.011
FundH,Tech,-0.0002
FundH,Tech,0.0088
FundH,Tech,0.0066
FundH,Tech,0.005
FundH,Tech,0.0086
FundH,Tech,0.019
FundH,Tech,0.0132
FundH,Tech,0.0071
FundH,Tech,0.0129
FundB,Finance,0.0092
FundB,Finance,0.0078
FundB,Finance,0.0052
FundB,Finance,0.0031
FundB,Finance,0.0071
FundB,Finance,0.0062
FundB,Finance,0.0077
FundB,Finance,0.0069
FundB,Finance,0.0081
FundB,Finance,0.0034
FundB,Finance,0.009
FundB,Finance,0.0056
FundB,Finance,0.0112
FundB,Finance,0.0029
FundB,Finance,0.0102
FundB,Finance,0.0056
FundB,Finance,0.003
FundB,Finance,0.0035
FundB,Finance,0.004
FundB,Finance,0.0063
FundB,Finance,0.0066
FundB,Finance,0.0033
FundB,Finance,0.0049
FundB,Finance,0.0114
FundB,Finance,0.0102
FundB,Finance,0.0063
FundB,Finance,0.0051
FundB,Finance,0.0054
FundB,Finance,0.0068
FundB,Finance,0.0019
FundB,Finance,0.0042
FundB,Finance,-0.0
FundB,Finance,0.0062
FundB,Finance,0.0069
FundB,Finance,0.0036
FundB,Finance,0.0097
FundB,Finance,0.0013
FundB,Finance,0.0006
FundB,Finance,0.0057
FundB,Finance,0.0081
FundB,Finance,0.0101
FundB,Finance,0.0036
FundB,Finance,0.0082
FundB,Finance,0.0049
FundB,Finance,0.0045
FundB,Finance,0.0077
FundB,Finance,0.007
FundB,Finance,0.0003
FundB,Finance,0.0094
FundB,Finance,0.0091
FundB,Finance,0.0031
FundB,Finance,0.0062
FundB,Finance,0.0065
FundB,Finance,0.0058
FundB,Finance,0.0033
FundB,Finance,0.003
FundB,Finance,0.0049
FundB,Finance,0.0085
FundB,Finance,0.0066
FundB,Finance,0.0039
FundB,Finance,0.0073
FundB,Finance,-0.0035
FundB,Finance,0.0084
FundB,Finance,-0.0002
FundB,Finance,0.0039
FundB,Finance,0.0016
FundB,Finance,0.0011
FundB,Finance,0.0085
FundB,Finance,0.0036
FundB,Finance,0.006
FundB,Finance,0.0049
FundB,Finance,0.0064
FundB,Finance,0.0052
FundB,Finance,0.0012
FundB,Finance,0.008
FundB,Finance,0.0035
FundB,Finance,0.0003
FundB,Finance,0.0037
FundB,Finance,0.0095
FundB,Finance,0.0076
